business_area_id,user_id,user_tna,question_id,weightage,response,doc_id
DVhvy8x4RkF1e33R0LCW,YJUfkRubr3RQQQshkSvV7J2UejT2,3vmDeqpcsT8H3qUnScuy,blydgefvAwfR23jlFXN0,5,2,07iqXtBB6U28lwALFlMp
fgT0OfrgvOqwyNV5U9O4,IiAWwuglgyaVG1678kaq5OIHwik2,nrJrX8TCZg18DXOLc7OS,Jg73PY31uLFN4gtvmdkA,5,2,07oRPyjMPAZgvMktmvmn
GmrHNRRC2s4lKGXPtLRB,JvbNoTgrTISE1RXgGzWS9hBwsLa2,9VwcdbTyaywBMhFBjN5e,nmkQo2LftWZwTnrTO28C,5,3,08ITe39d5CPBTILwIPEr
DVhvy8x4RkF1e33R0LCW,tw9KZudJw1OVTUri4G44wu1GuK03,1HuzEn1FGrrW243MZnjF,VZKwQ8FFFfKjTS4nTJCl,5,1,08JANyXwKE1M49yuCY8u
fgT0OfrgvOqwyNV5U9O4,el8YpSgOpEUND1XU3YGJJyddwIr2,rtCNBVMEL3KYLvzZCGHZ,NvNgPBNSiyRnVYq8hQK5,5,4,08WpGyKNCErYOhDkUbKL
5XJc8NmM7JP4byHGNGQ9,dUvz3ipBwuVenMtbBNWmstL1lMO2,36vt5KLSs2QmuUjbYGNl,nFKvVpJ146i5R955I9Gw,5,3,08as2yTBcnkCrvhimIVG
GmrHNRRC2s4lKGXPtLRB,mLfyyyW0rne7WG9ZZgC3TSif9Xi1,AcZB3YX1jVkYO4RB5cQE,cYgae91dIrh9D8VyQ4gL,5,1,08boqKRmPmVYBkDxAEmC
NiMRMd5crjCRGotyphUJ,7QIYRhbyg4gHEJyEulBh4E3z6u73,1c0XB719vUHkHUXNXnKK,4ULuNbvoU3UCNIVpQ1eP,5,1,08hxASCYKUNOZ7R2m3uQ
NiMRMd5crjCRGotyphUJ,RV2ddlsfiKVsSj3OQDrWxDpVNMU2,cjCOBEL7olVueJDgR2VS,NXNRUqBXP3N0reWExXtz,5,5,08ydOYQyR9SwWpK9Z1IU
NiMRMd5crjCRGotyphUJ,wyvOQZkV6Jep7ZWDdjDjZQXiqwU2,rhZ3Xjf14hg6mDskOK6q,G3Ch0XvhT3LWx9BbDUbH,5,4,09LdP7kyyENdKDeoqpWK
